,run1 1 percent augmentation                                        ,run2 1 percent augmentation                                        ,run3 1 percent augmentation                                        ,run4 1 percent augmentation                                        ,run5 1 percent augmentation                                        ,average 1 percent augmentation                                        ,run1 5 percent augmentation,run2 5 percent augmentation,run3 5 percent augmentation,run4 5 percent augmentation,run5 5 percent augmentation,average 5 percent augmentation,run1 10 percent augmentation,run2 10 percent augmentation,run3 10 percent augmentation,run4 10 percent augmentation,run5 10 percent augmentation,average run5 10 percent augmentation,run1 25 percent augmentation,run2 25 percent augmentation,run3 25 percent augmentation,run4 25 percent augmentation,run5 25 percent augmentation,average 25 percent augmentation,run1 50 percent augmentation (weighted),run2 50 percent augmentation (weighted),run3 50 percent augmentation (weighted),run4 50 percent augmentation (weighted),run5 50 percent augmentation (weighted),average 50 percent augmentation (weighted),BASELINE_AVERAGES
gpt2 F-Score,0.7468,0.7664,0.7742,0.7011,0.6934,0.73638,0.7247,0.7537,0.725,0.7799,0.7061,0.73788,0.7665,0.7746,0.7646,0.752,0.7207,0.75568,0.6774,0.7324,0.7482,0.7163,0.7057,0.716,0.6695,0.6998,0.7015,0.6926,0.6353,0.67974,
gpt2 Specificity,0.85,0.875,0.8783,0.7217,0.7025,0.8055,0.765,0.7958,0.7642,0.9033,0.7192,0.7895,0.87,0.8342,0.8992,0.8192,0.765,0.83752,0.6808,0.7625,0.8142,0.725,0.7117,0.73884,0.6542,0.6825,0.7142,0.6717,0.5975,0.66402,
gpt2 F1-Score mayority,0.8514190317,0.867768595,0.8717948718,0.7847757136,0.7741046832,0.8319132455,0.8113124171,0.8351552252,0.8111455108,0.8827361564,0.786332574,0.7992324783,0.8660306927,0.8570205479,0.8761672757,0.8423307626,0.8095238095,0.8508296647,0.7582366589,0.8140569395,0.8417053609,0.7934336525,0.7834862385,0.7991027367,0.7444286392,0.7704609595,0.7822911912,0.7628963559,0.7050147493,0.7536177055,
gpt2 F1-Score minority,0.1188118812,0.1578947368,0.1884816754,0.1989881956,0.2090032154,0.1797564049,0.2048417132,0.2651072125,0.2077922078,0.1627906977,0.2247933884,0.2167060678,0.1696658098,0.2801724138,0.09495548961,0.2103004292,0.1879699248,0.1946983547,0.192248062,0.2427536232,0.2038216561,0.2537067545,0.2387096774,0.226597582,0.2199710564,0.2759643917,0.2167487685,0.2707423581,0.2167101828,0.2398599358,
gpt2 Macro - averaged,0.4851154565,0.5128316659,0.5301382736,0.4918819546,0.4915539493,0.5058348252,0.5080770652,0.5501312188,0.5094688593,0.522763427,0.5055629812,0.507969273,0.5178482512,0.5685964809,0.4855613826,0.5263155959,0.4987468672,0.5227640097,0.4752423605,0.5284052813,0.5227635085,0.5235702035,0.511097958,0.5128501593,0.4821998478,0.5232126756,0.4995199799,0.516819357,0.460862466,0.4967388206,
gpt2 Precision minority ,0.12,0.15,0.18,0.295,0.325,0.214,0.275,0.34,0.28,0.14,0.34,0.275,0.165,0.325,0.08,0.245,0.25,0.213,0.31,0.335,0.24,0.385,0.37,0.328,0.38,0.465,0.33,0.465,0.415,0.411,
gpt2 Recall minority,0.1176470588,0.1666666667,0.1978021978,0.1501272265,0.154028436,0.1549601738,0.1632047478,0.2172523962,0.1651917404,0.1944444444,0.1679012346,0.1788036411,0.1746031746,0.2462121212,0.1167883212,0.1842105263,0.1506024096,0.1792929293,0.1393258427,0.1903409091,0.1771217712,0.1891891892,0.1761904762,0.1730870712,0.1547861507,0.1962025316,0.1613691932,0.1909650924,0.1466431095,0.1693448702,
"gpt2 ""00""",1020,1050,1054,866,843,966.6,918,955,917,1084,863,791.4,1044,1001,1079,983,918,1005,817,915,997,870,854,890.6,785,819,857,806,717,796.8,
"gpt2 ""01""",180,150,146,334,357,233.4,282,245,283,116,337,252.6,156,199,121,217,282,195,383,285,223,330,346,313.4,415,381,343,394,483,403.2,
"gpt2 ""10""",176,170,164,141,135,157.2,145,132,144,172,132,145,167,135,184,151,150,157.4,138,133,152,123,126,134.4,124,107,134,107,117,117.8,
